reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,operator,origin,hazards
"2023.8997","confectionery","food","Non complient composite food with milk product","29-12-2023 16:32:51","Sweden","information notification for attention","potential risk","Finland,Sweden","Finland,INFOSAN","Lebanon","Lebanon,Sweden","Lebanon",""
"2023.8996","milk and milk products","food","PFOS in skim milk concentrate from the United Kingdom","29-12-2023 16:12:27","Netherlands","information notification for attention","potential risk","Netherlands","INFOSAN,United Kingdom","Netherlands","Netherlands,United Kingdom","United Kingdom","perfluorooctanoic acid (PFOA) "
"2023.8994","food contact materials","food contact material","4,4'-Methylene dianiline and aniline in a nylon spatula","29-12-2023 15:49:57","France","information notification for attention","serious","France","China,INFOSAN","","China,France","China","primary aromatic amines  migration"
"2023.8993","fruits and vegetables","food","Chlorpyriphos-ethyl in oranges from Egypt","29-12-2023 14:36:23","Slovenia","border rejection notification","potentially serious","Slovenia","","","Egypt,Slovenia","Egypt","chlorpyrifos  "
"2023.8992","nuts, nut products and seeds","food","Aflatoxins in peanuts from the USA","29-12-2023 14:12:42","Netherlands","border rejection notification","serious","","","","Netherlands,United States","United States","Aflatoxin B1  ,aflatoxin total "
"2023.8991","fruits and vegetables","food","Aflatoxins in dried figs","29-12-2023 14:09:41","Italy","information notification for attention","serious","Italy","INFOSAN","","Italy,Türkiye","Türkiye","Aflatoxin B1  "
"2023.8988","milk and milk products","food","Salmonella Spp in formaggio Salmonella Spp in Feta Cheese ","29-12-2023 12:12:40","Italy","alert notification","serious","Italy","","Greece","Greece,Italy","Greece","Salmonella spp. "
"2023.8985","dietetic foods, food supplements and fortified foods","food","Exceeded maximum level of mercury in food supplements from India","29-12-2023 10:59:28","Slovenia","border rejection notification","potentially serious","","","","India","India","mercury  "
"2023.8984","food contact materials","food contact material","Migration of 4,4'-methylenedianiline in polyamide kitchen tools sets from Hong Kong","29-12-2023 10:54:33","France","border rejection notification","potentially serious","","France","","China,France","Hong Kong","primary aromatic amines  migration"
"2023.8982","fish and products thereof ","food","Ascorbic acid (E300) in red tuna loins from Vietnam","29-12-2023 10:44:28","Netherlands","information notification for follow-up","not serious","Belgium,Netherlands","INFOSAN","Belgium,Vietnam","Netherlands,Vietnam","Vietnam","E 300 - ascorbic acid  unauthorised"
